expression	min	median	itr/sec	mem_alloc	gc/sec	n_itr	n_gc	total_time	size	elapsed
data.table	  7.12ms	  7.28ms	120.3603782300831	 900.87KB	0	5	0	 41.54ms	1000	0.007277671000000652
gr	 11.38ms	 14.89ms	58.03660291937489	 109.67KB	0	5	0	 86.15ms	1000	0.014892575000001074
data.table	  5.78ms	  6.15ms	162.12133037149127	   1.21MB	0	5	0	 30.84ms	2000	0.006145522000002401
gr	  9.46ms	  9.78ms	102.36578172333952	 215.66KB	0	5	0	 48.84ms	2000	0.009775791000000922
data.table	  7.4ms	  8.1ms	117.67027724574153	   1.64MB	0	5	0	 42.49ms	4000	0.008104289000000264
gr	 10.02ms	 10.45ms	93.91431483307956	 402.93KB	0	5	0	 53.24ms	4000	0.010452849000001763
data.table	 21.71ms	 26.2ms	39.33630403199292	   2.6MB	0	5	0	127.11ms	8000	0.02619465899999973
gr	 13.25ms	 31.48ms	33.344348972459464	 767.7KB	0	5	0	149.95ms	8000	0.03147918099999991
data.table	 13.04ms	 13.56ms	64.50975193112991	   4.5MB	16.127437982782478	4	1	 62.01ms	16000	0.013556400500001509
gr	 13.05ms	 13.27ms	74.62844066589064	   1.52MB	0	5	0	 67ms	16000	0.013273701000001026
data.table	 21.28ms	 21.49ms	44.26942037217874	   8.66MB	11.067355093044686	4	1	 90.36ms	32000	0.021486975500000227
gr	 19.09ms	 19.29ms	51.46904756990479	   2.96MB	0	5	0	 97.15ms	32000	0.019290645999999967
data.table	 38.5ms	 38.85ms	25.742143089272414	  16.43MB	38.61321463390862	2	3	 77.69ms	64000	0.03884680450000033
gr	 37.15ms	 65.14ms	16.37834120166844	   5.87MB	0	5	0	305.28ms	64000	0.06514057500000092
data.table	 65.88ms	 73.47ms	13.611690683666676	  32.38MB	20.417536025500013	2	3	146.93ms	128000	0.07346625950000085
gr	 68.15ms	 70.88ms	14.108084084900876	  11.72MB	3.527021021225219	4	1	283.52ms	128000	0.07088283549999908
data.table	163.56ms	211.58ms	4.721224488473974	  63.83MB	8.498204079253151	5	9	  1.06s	256000	0.21157668800000096
gr	 84.36ms	 97.87ms	10.351528294668597	  23.38MB	6.210916976801158	5	3	483.02ms	256000	0.09786608200000124
data.table	305.72ms	359.11ms	2.0572018519553104	 127.66MB	5.760165185474869	5	14	  2.43s	512000	0.3591070440000017
gr	117.72ms	137.07ms	4.780324001316407	  46.8MB	2.868194400789844	5	3	  1.05s	512000	0.13707393600000017
data.table	593.5ms	658.35ms	1.2740419860714889	 254.89MB	4.076934355428764	5	16	  3.92s	1024000	0.6583491469999991
gr	249.26ms	285.05ms	3.5765825725335896	  93.55MB	2.8612660580268714	5	4	  1.4s	1024000	0.2850501320000003
data.table	  1.62s	  1.64s	0.6084432796048808	 507.69MB	2.5554617743404995	5	21	  8.22s	2048000	1.6413531680000002
gr	507.72ms	593.1ms	1.5541140781400613	 186.66MB	1.5541140781400613	5	5	  3.22s	2048000	0.5930976749999992
data.table	  2.34s	  2.99s	0.3471446412288659	1016.58MB	1.8745810626358759	5	27	 14.4s	4096000	2.9863256110000016
gr	  1.09s	  1.15s	0.8645893866838756	 373.94MB	1.0375072640206509	5	6	  5.78s	4096000	1.153125211999999
data.table	  5.07s	  5.29s	0.18917495722073277	   1.99GB	0.9458747861036638	5	25	 26.43s	8192000	5.294616297000003
gr	  2.39s	  2.51s	0.38765883688957653	 747.82MB	0.5427223716454072	5	7	 12.9s	8192000	2.5122548329999983
