expression	min	median	itr/sec	mem_alloc	gc/sec	n_itr	n_gc	total_time	size	elapsed
data.table	  6.87ms	  7.17ms	138.81434173137538	924.75KB	0	5	0	 36.02ms	1000	0.007169386999976268
gr	 19.42ms	 20.62ms	48.59414750159712	262.07KB	0	5	0	102.89ms	1000	0.02062543300002062
data.table	  8.23ms	  8.84ms	110.22324086116531	  1.19MB	0	5	0	 45.36ms	2000	0.008836937000012313
gr	 23.9ms	 31.44ms	29.912681234110707	539.7KB	0	5	0	167.15ms	2000	0.03144273600003089
data.table	 27.06ms	 33.46ms	30.25960300453001	  1.72MB	0	5	0	165.24ms	4000	0.03345761400004221
gr	 19.16ms	 40.46ms	23.561048292995586	  1.01MB	5.890262073248897	4	1	169.77ms	4000	0.04046282100000553
data.table	  9.3ms	 10.47ms	90.15117360158264	  2.81MB	0	5	0	 55.46ms	8000	0.010472747999983767
gr	 19.38ms	 19.75ms	47.7876163878147	  1.86MB	0	5	0	104.63ms	8000	0.019746789999999237
data.table	 15.02ms	 15.67ms	64.13905429052032	  5.02MB	0	5	0	 77.96ms	16000	0.01566672900003141
gr	 23.25ms	 24.55ms	39.250698821380716	  3.98MB	0	5	0	127.39ms	16000	0.024555313999996997
data.table	 23.96ms	 24.45ms	40.474407983251645	  9.16MB	0	5	0	123.53ms	32000	0.024444936000008965
gr	 27.2ms	 28.44ms	33.64735897537347	  7.2MB	0	5	0	148.6ms	32000	0.028441739000015787
data.table	 44.91ms	 49.8ms	20.494539551699454	 17.87MB	0	5	0	243.97ms	64000	0.049794941000016024
gr	 40.15ms	 51.36ms	18.01441889940333	 14.57MB	0	5	0	277.56ms	64000	0.051358556000025146
data.table	 82.56ms	 88.95ms	11.170676634245373	 35.56MB	0	5	0	447.6ms	128000	0.08894757100000561
gr	 62.52ms	 67.25ms	14.107556006997164	 29.46MB	0	5	0	354.42ms	128000	0.0672512529999949
data.table	158.69ms	168.82ms	4.647316019173789	 70.41MB	0	5	0	  1.08s	256000	0.1688239030000318
gr	110.8ms	113.85ms	8.648514554598693	 58.82MB	2.162128638649673	4	1	462.51ms	256000	0.11384962400001086
data.table	314.42ms	346.69ms	2.8279501359457457	140.05MB	0.7069875339864364	4	1	  1.41s	512000	0.3466915215000199
gr	213.32ms	219.09ms	4.579456143467765	117.47MB	1.1448640358669413	4	1	873.47ms	512000	0.21909103850001088
data.table	622.84ms	623.48ms	1.60180537219615	279.52MB	1.0678702481307667	3	2	  1.87s	1024000	0.6234746389999941
gr	443.45ms	443.83ms	2.2439705638542526	235.04MB	1.4959803759028352	3	2	  1.34s	1024000	0.4438300840000693
data.table	  1.31s	  1.57s	0.6465245864356183	556.58MB	0.6465245864356183	5	5	  7.73s	2048000	1.5710865099999864
gr	935.54ms	963.69ms	1.025020260335217	468.26MB	1.2300243124022605	5	6	  4.88s	2048000	0.9636914569999817
data.table	  3.1s	  3.29s	0.28412645954240917	  1.09GB	0.9660299624441913	5	17	 17.6s	4096000	3.288421401999983
gr	  1.75s	  1.92s	0.4918680633084694	941.08MB	1.2788569646020205	5	13	 10.16s	4096000	1.917606166999974
data.table	  6.51s	  7.11s	0.14058830730411023	  2.18GB	0.8435298438246615	5	30	 35.56s	8192000	7.1063097489999905
gr	  3.36s	  4.34s	0.239149418617346	  1.84GB	1.0044275581928532	5	21	 20.91s	8192000	4.341929042999993
